
Deniz halkı için Watatsumi'nin tanrısı tarafından kutsanmış parlak inciler, paha biçilemez hazinelerdir.
Yalnızca Kutsal Rahibe'nin bu inciler hakkında şarkı söyleme izni vardı.

Efsaneye göre gökkuşağı renklerindeki istiridyeler, bu kusursuz mücevherleri Watatsumi'nin merhametine olan minnetlerini göstermek için üretmişler.
Sonraları, Kutsal Rahibe soyunun bu incilerden geldiği bile söylenmiştir.
Kutsal Rahibe narin ve göz alıcı beşiğinden dışarı bir adım attı. Omikami, onu deniz ve ay ile dans eden kız kardeşlerle birlikte kutsadı.
Omikami, neşesi ve sevgisiyle onların yüreklerine gün ışığını takip etme isteği bahşedecek güzel mücevherler verdi.

Bu inciler, damarlarında Watatsumi kanı akanların elinde daha bir parlak olur.
Belki de bu, sadece doğruluğu hiçbir zaman kanıtlanamayacak eski bir hikayeden ibarettir.
Ama yenilginin eşiğine geldiklerinde, Kutsal Rahibe ve ikiz kardeşlerin kıyafetlerini değiştirip sonsuz dalgalar arasında gizlendikleri söylenir.
Bu kargaşada, sadece bu parlak inci denizin sessiz ve yalnız derinliklerinde kayboldu.
